League;Position;Team;Played;W;D;L;F;A;GD;Pts;Fl;Y;R;Sh;ShT
Premier League;1;Chelsea;38;30;3;5;85;33;52;93;394;72;0;580;204
Premier League;2;Tottenham;38;26;8;4;86;26;60;86;432;62;0;669;257
Premier League;3;Man City;38;23;9;6;80;39;41;78;395;71;4;633;217
Premier League;4;Liverpool;38;22;10;6;78;42;36;76;397;54;0;638;236
Premier League;5;Arsenal;38;23;6;9;77;44;33;75;397;67;3;565;200
Premier League;6;Man United;38;18;15;5;54;29;25;69;497;76;2;589;210
Premier League;7;Everton;38;17;10;11;62;44;18;61;459;71;2;498;192
Premier League;8;Southampton;38;12;10;16;41;48;-7;46;424;58;2;548;179
Premier League;9;Bournemouth;38;12;10;16;55;67;-12;46;366;51;3;446;160
Premier League;10;West Brom;38;12;9;17;43;51;-8;45;449;80;0;400;123
Premier League;11;West Ham;38;12;9;17;47;64;-17;45;408;77;5;496;138
Premier League;12;Leicester;38;12;8;18;48;63;-15;44;451;71;1;432;145
Premier League;13;Stoke;38;11;11;16;41;56;-15;44;434;70;2;426;137
Premier League;14;Crystal Palace;38;12;5;21;50;63;-13;41;469;77;0;438;138
Premier League;15;Swansea;38;12;5;21;45;70;-25;41;401;56;0;390;146
Premier League;16;Burnley;38;11;7;20;39;55;-16;40;426;65;2;390;120
Premier League;17;Watford;38;11;7;20;40;68;-28;40;517;83;5;419;144
Premier League;18;Hull;38;9;7;22;37;80;-43;34;403;67;5;396;127
Premier League;19;Middlesbrough;38;5;13;20;27;53;-26;28;478;76;1;349;100
Premier League;20;Sunderland;38;6;6;26;29;69;-40;24;437;76;4;387;121
Serie A;1;Juventus;38;29;4;5;77;27;50;91;473;70;0;583;221
Serie A;2;Roma;38;28;3;7;90;38;52;87;462;64;1;676;234
Serie A;3;Napoli;38;26;8;4;94;39;55;86;376;58;2;670;262
Serie A;4;Atalanta;38;21;9;8;62;41;21;72;603;85;3;534;201
Serie A;5;Lazio;38;21;7;10;74;51;23;70;543;90;4;584;211
Serie A;6;Milan;38;18;9;11;57;45;12;63;521;81;12;555;191
Serie A;7;Inter;38;19;5;14;72;49;23;62;540;74;5;630;208
Serie A;8;Fiorentina;38;16;12;10;63;57;6;60;535;92;6;609;226
Serie A;9;Torino;38;13;14;11;71;66;5;53;587;80;4;573;184
Serie A;10;Sampdoria;38;12;12;14;49;55;-6;48;511;73;4;501;167
Serie A;11;Cagliari;38;14;5;19;55;76;-21;47;557;97;7;421;174
Serie A;12;Sassuolo;38;13;7;18;58;63;-5;46;518;90;2;441;171
Serie A;13;Udinese;38;12;9;17;47;56;-9;45;484;84;2;434;155
Serie A;14;Chievo;38;12;7;19;43;61;-18;43;555;82;4;407;129
Serie A;15;Bologna;38;11;8;19;40;58;-18;41;486;84;11;422;145
Serie A;16;Genoa;38;9;9;20;38;64;-26;36;623;89;8;443;147
Serie A;17;Crotone;38;9;7;22;34;58;-24;34;585;87;4;399;130
Serie A;18;Empoli;38;8;8;22;29;61;-32;32;538;107;2;362;127
Serie A;19;Palermo;38;6;8;24;33;77;-44;26;564;93;9;381;118
Serie A;20;Pescara;38;3;9;26;37;81;-44;18;551;92;4;442;146
Primera Division;1;Real Madrid;38;29;6;3;106;41;65;93;425;72;2;661;265
Primera Division;2;Barcelona;38;28;6;4;116;37;79;90;421;73;1;648;268
Primera Division;3;Ath Madrid;38;23;9;6;70;27;43;78;498;80;3;502;198
Primera Division;4;Sevilla;38;21;9;8;69;49;20;72;581;105;4;486;198
Primera Division;5;Villarreal;38;19;10;9;56;33;23;67;507;89;4;425;169
