name,minutes,goals,assists,age,yellow,red
A. Begović,0,0,0,29,0,0
T. Courtois,1350,0,0,24,1,0
Eduardo,0,0,0,34,0,0
Marcos Alonso,845,1,2,25,1,0
Azpilicueta,1350,0,0,27,3,0
G. Cahill,1344,1,0,30,1,0
N. Chalobah,57,0,1,22,1,0
B. Ivanović,563,0,0,32,2,0
David Luiz,990,0,0,29,3,0
O. Aina,8,0,0,20,0,0
J. Terry,366,0,0,36,1,0
K. Zouma,0,0,0,22,0,0
Willian,581,3,0,28,2,0
Oscar,455,0,1,25,1,0
Fàbregas,193,0,2,29,1,0
E. Hazard,1254,8,1,25,2,0
N. Kanté,1350,1,0,25,4,0
R. Loftus-Cheek,8,0,0,20,0,0
N. Matić,1228,0,6,28,3,0
V. Moses,825,3,1,26,1,0
J. Obi Mikel,0,0,0,29,0,0
Pedro,685,3,5,29,2,0
M. van Ginkel,0,0,0,24,0,0
M. Batshuayi,76,1,1,23,0,0
Diego Costa,1322,12,5,28,4,0
D. Solanke,0,0,0,19,0,0
H. Lloris,1115,0,0,29,0,0
Pau López,0,0,0,21,0,0
M. Vorm,235,0,0,33,0,0
A. Whiteman,0,0,0,18,0,0
T. Alderweireld,780,0,0,27,0,0
L. Amos,0,0,0,19,0,0
C. Carter-Vickers,0,0,0,18,0,0
B. Davies,283,0,0,23,1,0
D. Rose,900,1,0,26,6,0
K. Trippier,11,0,0,26,0,0
J. Vertonghen,1350,0,0,29,4,0
K. Walker,1277,0,2,26,4,0
K. Wimmer,180,0,0,24,1,0
D. Alli,1078,3,1,20,2,0
T. Carroll,0,0,0,24,0,0
C. Eriksen,1219,3,4,24,0,0
M. Dembélé,674,0,0,29,3,0
E. Dier,991,0,0,22,2,0
M. Edwards,0,0,0,18,0,0
E. Lamela,593,1,1,24,1,0
M. Sissoko,379,0,1,27,1,0
A. Walkes,0,0,0,19,0,0
V. Wanyama,1312,1,0,25,4,0
H. Winks,153,1,0,20,0,0
S. Harrison,0,0,0,19,0,0
V. Janssen,592,1,1,22,0,0
