team,country,name,minutes,goals,assists,age,position,yellow,red
Chelsea,England,A. Begović,0,0,0,29,G,0,0
Chelsea,England,T. Courtois,1350,0,0,24,G,1,0
Chelsea,England,Eduardo,0,0,0,34,G,0,0
Chelsea,England,Marcos Alonso,845,1,2,25,D,1,0
Chelsea,England,Azpilicueta,1350,0,0,27,D,3,0
Chelsea,England,G. Cahill,1344,1,0,30,D,1,0
Chelsea,England,N. Chalobah,57,0,1,22,D,1,0
Chelsea,England,B. Ivanović,563,0,0,32,D,2,0
Chelsea,England,David Luiz,990,0,0,29,D,3,0
Chelsea,England,O. Aina,8,0,0,20,D,0,0
Chelsea,England,J. Terry,366,0,0,36,D,1,0
Chelsea,England,K. Zouma,0,0,0,22,D,0,0
Chelsea,England,Willian,581,3,0,28,M,2,0
Chelsea,England,Oscar,455,0,1,25,M,1,0
Chelsea,England,Fàbregas,193,0,2,29,M,1,0
Chelsea,England,E. Hazard,1254,8,1,25,M,2,0
Chelsea,England,N. Kanté,1350,1,0,25,M,4,0
Chelsea,England,R. Loftus-Cheek,8,0,0,20,M,0,0
Chelsea,England,N. Matić,1228,0,6,28,M,3,0
Chelsea,England,V. Moses,825,3,1,26,M,1,0
Chelsea,England,J. Obi Mikel,0,0,0,29,M,0,0
Chelsea,England,Pedro,685,3,5,29,M,2,0
Chelsea,England,M. van Ginkel,0,0,0,24,M,0,0
Chelsea,England,M. Batshuayi,76,1,1,23,A,0,0
Chelsea,England,Diego Costa,1322,12,5,28,A,4,0
Chelsea,England,D. Solanke,0,0,0,19,A,0,0
Tottenham Hotspur,England,H. Lloris,1115,0,0,29,G,0,0
Tottenham Hotspur,England,Pau López,0,0,0,21,G,0,0
Tottenham Hotspur,England,M. Vorm,235,0,0,33,G,0,0
Tottenham Hotspur,England,A. Whiteman,0,0,0,18,G,0,0
Tottenham Hotspur,England,T. Alderweireld,780,0,0,27,D,0,0
Tottenham Hotspur,England,L. Amos,0,0,0,19,D,0,0
Tottenham Hotspur,England,C. Carter-Vickers,0,0,0,18,D,0,0
Tottenham Hotspur,England,B. Davies,283,0,0,23,D,1,0
Tottenham Hotspur,England,D. Rose,900,1,0,26,D,6,0
Tottenham Hotspur,England,K. Trippier,11,0,0,26,D,0,0
Tottenham Hotspur,England,J. Vertonghen,1350,0,0,29,D,4,0
Tottenham Hotspur,England,K. Walker,1277,0,2,26,D,4,0
Tottenham Hotspur,England,K. Wimmer,180,0,0,24,D,1,0
Tottenham Hotspur,England,D. Alli,1078,3,1,20,M,2,0
Tottenham Hotspur,England,T. Carroll,0,0,0,24,M,0,0
Tottenham Hotspur,England,C. Eriksen,1219,3,4,24,M,0,0
Tottenham Hotspur,England,M. Dembélé,674,0,0,29,M,3,0
Tottenham Hotspur,England,E. Dier,991,0,0,22,M,2,0
Tottenham Hotspur,England,M. Edwards,0,0,0,18,M,0,0
Tottenham Hotspur,England,E. Lamela,593,1,1,24,M,1,0
